month,day,names
9,2,Ad├ęla
9,3,Bronislav
9,4,Jindra
9,5,Boris
9,6,Boleslav
9,7,Reg├şna
9,8,Mari├ín
9,9,Daniela
9,10,Irma
9,11,Denisa
9,12,Marie
9,13,Lubor
9,14,Radka
9,15,Jolana
9,16,Ludmila
9,17,Nad─Ť┼żda
9,18,Kry┼ítof
9,19,Zita
9,20,Oleg
9,21,Matou┼í
9,22,Darina
9,23,Berta
9,24,Jarom├şr
9,25,Zlata
9,26,Andrea
9,27,Jon├í┼í
9,28, V├íclav
9,29,Michael
9,30,Jeronym
10,1,Igor
10,2,Ol├şvie
10,3,Bohumil
10,4,Franti┼íek
10,5,Eli┼íka
10,6,Hanu┼í
10,7,Just├Żna
10,8,V─Ťra
10,9,┼átefan
10,10,Marina
10,11,Andrej
10,12,Marcel
10,13,Ren├íta
10,14,Ag├íta
10,15, Tereza
10,16, Havel
10,17,Hedvika
10,18,Luk├í┼í
10,19,Michaela
10,20,Vendel├şn
10,21,Brigita
10,22,Sabina
10,23,Teodor
10,24,Nina
10,25,Be├íta
10,26,Erik
10,27, ┼áarlota
10,28,Alfr├ęd
10,29,Silvie
10,30,Tade├í┼í
10,31,┼át─Ťp├ínka
11,1,Felix
11,2,Du┼íi─Źky
11,3,Hubert
11,4,Karel
11,5,Miriam
11,6,S├íga
11,7,Karina
11,8,Bohum├şr
11,9,Bohdan
11,10,Ev┼żen
11,11,Martin
11,12,Benedikt
11,13,Tibor
11,14, S├íva
11,15,Leopold
11,16,Otmara
11,17, Mahulena
11,18,Romana
11,19,Al┼żb─Ťta
11,20,Natanael
11,21,Albert
11,22,Cec├şlie
11,23,Klement
11,24,Em├şlie
11,25,Kate┼Öina
11,26,Artur
11,27,Val├ęrie
11,28, Ren├ę
11,29, Zina
11,30,Ond┼Öej
12,1, Iva
12,2,Blanka
12,3,Svatoslav
12,4,Barbora
12,5,Jitka
12,6,Mikul├í┼í
12,7,Ambro┼ż
12,8,Kv─Ťtoslava
12,9,Vratislav
12,10,Julie
12,11, Dana
12,12,Simona
12,13,Lucie
12,14,L├Żdie
12,15,Radana
12,16,Alb├şna
12,17,Daniel
12,18,Miloslav
12,19,Ester
12,20,Dagmar
12,21, Nat├ílie
12,22, ┼áimon
12,23, Vlasta
12,24,Adam a Eva
12,25,1. sv├ítek v├íno─Źn├ş
12,26,2. sv├ítek v├íno─Źn├ş
12,27,┼Żaneta
12,28,Bohumila
12,29,Judita
12,30,David
12,31,Silvestr

